scorer,DLC_dlcrnetms5_openfieldMay31shuffle1_200000,DLC_dlcrnetms5_openfieldMay31shuffle1_200000,DLC_dlcrnetms5_openfieldMay31shuffle1_200000,DLC_dlcrnetms5_openfieldMay31shuffle1_200000,DLC_dlcrnetms5_openfieldMay31shuffle1_200000,DLC_dlcrnetms5_openfieldMay31shuffle1_200000,DLC_dlcrnetms5_openfieldMay31shuffle1_200000,DLC_dlcrnetms5_openfieldMay31shuffle1_200000,DLC_dlcrnetms5_openfieldMay31shuffle1_200000,DLC_dlcrnetms5_openfieldMay31shuffle1_200000,DLC_dlcrnetms5_openfieldMay31shuffle1_200000,DLC_dlcrnetms5_openfieldMay31shuffle1_200000,DLC_dlcrnetms5_openfieldMay31shuffle1_200000,DLC_dlcrnetms5_openfieldMay31shuffle1_200000,DLC_dlcrnetms5_openfieldMay31shuffle1_200000,DLC_dlcrnetms5_openfieldMay31shuffle1_200000,DLC_dlcrnetms5_openfieldMay31shuffle1_200000,DLC_dlcrnetms5_openfieldMay31shuffle1_200000
individuals,mouse1,mouse1,mouse1,mouse1,mouse1,mouse1,mouse1,mouse1,mouse1,mouse2,mouse2,mouse2,mouse2,mouse2,mouse2,mouse2,mouse2,mouse2
bodyparts,nose,nose,nose,neck,neck,neck,tailbase,tailbase,tailbase,nose,nose,nose,neck,neck,neck,tailbase,tailbase,tailbase
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
76,428.863,139.561,1.0,425.863,144.393,1.0,410.487,173.751,1.0,342.803,138.933,1.0,347.738,138.496,1.0,380.361,133.002,1.0
77,428.963,140.466,1.0,425.268,144.579,1.0,410.684,173.918,1.0,342.829,139.326,1.0,347.616,138.451,1.0,379.964,132.768,1.0
78,343.139,140.046,1.0,348.175,138.499,1.0,380.115,132.348,1.0,428.269,140.704,1.0,424.991,144.713,1.0,410.451,173.983,1.0
79,428.565,141.205,1.0,424.668,145.878,1.0,410.542,174.047,1.0,342.609,139.471,1.0,347.78,138.285,1.0,380.111,132.366,1.0
80,429.089,141.873,1.0,425.003,146.674,1.0,410.474,174.327,1.0,342.066,138.559,1.0,347.06,138.315,1.0,380.223,132.674,1.0
81,429.51,142.932,1.0,425.243,147.317,1.0,410.237,174.246,1.0,342.021,138.723,1.0,347.623,138.165,1.0,380.411,132.822,1.0
82,429.55,142.959,1.0,425.208,147.283,1.0,410.177,174.197,1.0,342.025,138.715,1.0,347.608,138.17,1.0,380.422,132.809,1.0
83,429.41,142.758,1.0,425.577,147.965,1.0,410.405,174.184,1.0,342.229,138.78,1.0,347.328,138.171,1.0,379.985,132.714,1.0
84,429.138,142.546,1.0,425.751,147.944,1.0,410.628,174.391,1.0,342.072,138.831,1.0,347.259,138.064,1.0,379.797,132.984,1.0
85,429.009,143.273,1.0,425.626,148.474,1.0,410.405,174.405,1.0,342.244,138.246,1.0,347.676,137.746,1.0,379.981,133.061,1.0
